Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
401,2.96,9.03,30.31
402,3.80,11.58,30.31
403,3.92,11.96,30.31
404,4.44,13.54,30.31
405,2.58,7.87,30.25
406,2.92,8.91,30.25
407,4.25,12.95,30.25
408,1.84,5.61,30.19
409,2.58,7.86,30.19
410,3.98,12.15,30.12
411,2.62,7.99,30.12
412,4.81,14.67,30.12
413,2.81,8.56,30.12
414,3.45,10.51,30.06
415,2.65,8.08,30.06
416,2.20,6.71,30.06
417,3.01,9.18,30.00
418,2.24,6.84,30.00
419,3.41,10.39,29.94
420,4.07,12.40,29.94
421,3.35,10.21,29.94
422,3.37,10.29,29.87
423,4.62,14.10,29.87
424,2.65,8.09,29.87
425,3.13,9.54,29.81
426,2.57,7.84,29.81
427,3.62,11.05,29.81
428,4.02,12.27,29.75
429,3.09,9.42,29.75
430,1.07,3.26,29.75
431,3.73,11.39,29.69
432,1.62,4.93,29.69
433,3.87,11.81,29.62
434,1.73,5.28,29.62
435,0.99,3.01,29.62
436,2.90,8.85,29.56
437,4.03,12.30,29.56
438,3.47,10.58,29.56
439,3.25,9.91,29.50
440,4.60,14.03,29.50
441,2.99,9.12,29.50
442,3.80,11.58,29.50
443,1.50,4.58,29.44
444,3.35,10.21,29.44
445,2.26,6.89,29.44
446,3.62,11.05,29.37
447,3.92,11.96,29.37
448,3.58,10.91,29.37
449,2.61,7.98,29.37
450,3.93,12.00,29.31
451,2.12,6.45,29.31
452,4.24,12.94,29.31
453,1.28,3.91,29.31
454,4.83,14.74,29.31
455,4.46,13.61,29.25
456,2.44,7.44,29.25
457,1.48,4.52,29.25
458,2.90,8.85,29.25
459,3.92,11.96,29.25
460,3.70,11.30,29.19
461,2.87,8.77,29.19
462,3.42,10.42,29.19
463,2.90,8.84,29.19
464,3.36,10.26,29.12
465,1.85,5.63,29.12
466,2.95,9.00,29.12
467,3.95,12.04,29.12
468,3.62,11.03,29.12
469,3.11,9.48,29.12
470,2.06,6.29,29.06
471,3.34,10.18,29.06
472,4.53,13.80,29.06
473,1.79,5.46,29.06
474,2.77,8.45,29.06
475,3.03,9.23,29.06
476,3.99,12.18,29.06
477,1.87,5.69,29.00
478,1.24,3.77,29.00
479,1.67,5.10,29.00
